('AAD', '0', 'APA', '4', '02')
('AAD', '0', 'APA', '5', '02')
('AAD', '5', 'APA', '4', '02')
('AAD', '5', 'APA', '5', '02')
('ACP', '2', 'APA', '4', '02')
('ACP', '2', 'APA', '5', '02')
('ACP', '4', 'APA', '4', '02')
('ACP', '4', 'APA', '5', '02')
('ACP', '9', 'APA', '4', '02')
('ACP', '9', 'APA', '5', '02')
('AAD', '0', 'APA', '4', '02')
('AAD', '0', 'APA', '5', '02')
('AAD', '5', 'APA', '4', '02')
('AAD', '5', 'APA', '5', '02')
('ACP', '2', 'APA', '4', '02')
('ACP', '2', 'APA', '5', '02')
('ACP', '4', 'APA', '4', '02')
('ACP', '4', 'APA', '5', '02')
('ACP', '9', 'APA', '4', '02')
('ACP', '9', 'APA', '5', '02')
